author,year,journal,citation,table_figure,source_id
Gomes‐Ferreira,2007,Journal of Fish Biology,"Gomes‐Ferreira, A., Ribeiro, F., Moreira da Costa, L., Cowx, I. G., & Collares‐Pereira, M. J. (2005). Variability in diet and foraging behaviour between sexes and ploidy forms of the hybridogenetic Squalius alburnoides complex (Cyprinidae) in the Guadiana River basin, Portugal. Journal of Fish Biology, 66(2), 454467.",tbl 2,245
Grey et al.,2002,Freshwater Biology,"Grey, J., Thackeray, S. J., Jones, R. I., & Shine, A. (2002). Ferox Trout (Salmo trutta) as 'Russian dolls': complementary gut content and stable isotope analyses of the Loch Ness foodweb. Freshwater Biology, 47(7), 1235-1243.",tbl 1,262
Jacquemin et al.,2014,Journal of Fish and Wildlife Management,"Jacquemin, S. J., Pyron, M., Allen, M., & Etchison, L. (2014). Wabash River freshwater drum Aplodinotus grunniens diet: effects of body size, sex, and river gradient. Journal of Fish and Wildlife Management, 5(1), 133-140.",tbl 1,333
Li et al.,2016,Zoological Studies,"Li, K. C., Shieh, B. S., Chiu, Y. W., Huang, D. J., & Liang, S. H. (2016). Growth, diet composition and reproductive biology of the invasive freshwater fish Chevron snakehead Channa striata on a subtropical Island. Zoological Studies, 55.",tbl 2,432
McHugh,1940,Journal of the Fisheries Board of Canada,"McHugh, J. L. (1940). Food of the Rocky Mountain whitefish Prosopium williamsoni (Girard). Journal of the Fisheries Board of Canada, 5(2), 131-137.",tbl 1,479
Meyers & Muncy,1962,Chesapeake Science,"Meyers, C. D., & Muncy, R. J. (1962). Summer food and growth of chain pickerel, Esox niger, in brackish waters of the Severn River, Maryland. Chesapeake Science, 3(2), 125-128.",tbl 2,483
Miller,1967,TAFS,"Miller, RV. 1967. Food of the Threadfin Shad, Dorosoma petenense, in Lake Chicot, Arkansas. TAFS: 243-246",tbl1,489
Allison & Youdubagha,2013,proceedings of the 28th annual conference,"Allison, M. E., & Youdubagha, S. E. (2013). Preliminary studies on the food and feeding habits of Synodontis membraneceus from Ogobiri River, Nigeria.",tbl 1a,29
Allison & Youdubagha,2013,proceedings of the 28th annual conference,"Allison, M. E., & Youdubagha, S. E. (2013). Preliminary studies on the food and feeding habits of Synodontis membraneceus from Ogobiri River, Nigeria.",tbl 1b,30
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 10,571
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 12,572
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 13,573
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 14,574
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 15,575
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 16,576
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 2,577
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 3,578
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 5,579
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 7,580
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 8,581
Nurnberger,1930,Transactions of the American Fisheries Society,"Nurnberger, P. K. (1930). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",tbl 9,582
Ofori-Danson & Kumi,2006,West African Journal of Applied Ecology,"Ofori-Danson, P. K., & Kumi, G. N. (2006). Food and Feeding Habit of Sarotherodon melanotheron, Rüppell, 1852 (Pisces: Cichlidae) in Sakumo Lagoon, Ghana. West African Journal of Applied Ecology, 10(1).",tbl 2,587
Ofori-Danson & Kumi,2006,West African Journal of Applied Ecology,"Ofori-Danson, P. K., & Kumi, G. N. (2006). Food and Feeding Habit of Sarotherodon melanotheron, Rüppell, 1852 (Pisces: Cichlidae) in Sakumo Lagoon, Ghana. West African Journal of Applied Ecology, 10(1).",tbl 3,588
O'Kelley et al.,2007,Southeastern Naturalist,"O'Kelley, C. T., & Powers, S. L. (2007). Life-history Aspects of Hypentelium etowanum (Alabama Hog Sucker)(Actinopterygii: Catostomidae) in Northern Georgia. Southeastern Naturalist, 6(3), 479-490.",tbl 3,585
Ryon,1986,American Midland Naturalist,"Ryon, M. G. (1986). The life history and ecology of Etheostoma trisella (Pisces: Percidae). American Midland Naturalist, 73-86.",tbl 1,660
Scalet,1972,American Midland Naturalist,"Scalet, C. G. (1972). Food habits of the orangebelly darter, Etheostoma radiosum cyanorum (Osteichthyes: Percidae). American Midland Naturalist, 515-522.",tbl 1,672
Wedderburn et al.,2015,Australian Journal of Zoology,"Wedderburn, S. D., Bice, C. M., & Barnes, T. C. (2015). Prey selection and diet overlap of native golden perch and alien redfin perch under contrasting hydrological conditions. Australian Journal of Zoology, 62(5), 374-381.",tbl 3,776
Abilhoa et al.,2010,Neotropical Ichthyology,"Abilhoa, V., Vitule, J. R. S., & Bornatowski, H. (2010). Feeding ecology of Rivulus luelingi (Aplocheiloidei: Rivulidae) in a coastal Atlantic rainforest stream, southern Brazil. Neotropical Ichthyology, 8(4), 813-818.",tbl 1,3
Akin et al.,2011,African Journal of Agricultural Research,"Akin, S., Şahin, C., Verep, B., Turan, D., Gözler, A. M., Bozkurt, A., ... & Sargın, İ. (2011). Feeding habits of introduced European perch (Perca fluviatilis) in an impounded large river system in Turkey. African Journal of Agricultural Research, 6(18), 4293-4307.",tbl 1,16
De Almeida  et al.,1998,Studies on Neotropical Fauna and Environment,"De Almeida, V. L. L., Hahn, N. S., & Agostinho, C. S. (1998). Stomach content of juvenile and adult piranhas (Serrasalmus marginatus) in the Paraná Floodplains, Brazil. Studies on Neotropical Fauna and Environment, 33(2), 100-105.",tbl 1,159
Barriga & Battini,2009,Ecology of Freshwater Fish,"Barriga, J. P., & Battini, M. A. (2009). Ecological significances of ontogenetic shifts in the stream‐dwelling catfish, Hatcheria macraei (Siluriformes, Trichomycteridae), in a Patagonian river. Ecology of Freshwater Fish, 18(3), 395-405.",tbl 3,52
Fernandes et al.,2017,Biota Neotropica,"Fernandes, S., Leitão, R. P., Dary, E. P., Guerreiro, A. I. C., Zuanon, J., & Bührnheim, C. M. (2017). Diet of two syntopic species of Crenuchidae (Ostariophysi: Characiformes) in an Amazonian rocky stream. Biota Neotropica, 17(1).",tbl 1,204
Janses et al.,1996,Polskie Archiwum Hydrobiologii,"Janses, W., Kappus, B., & Bohmer, J. (1996). Fish diets and densities of benthos upstream and downstream of a man-made barrier on the Glems River, Baden-Württemberg, Germany. Polskie Archiwum Hydrobiologii, 43(2), 225-244.",tbl 6,335
Lammens,1985,Canadian Journal of Fisheries and Aquatic Sciences,"Lammens, E. H., Nie, H. W. D., Vijverberg, J., & Densen, W. L. T. V. (1985). Resource partitioning and niche shifts of bream (Abramis brama) and eel (Anguilla anguilla) mediated by predation of smelt (Osmerus eperlanus) on Daphnia hyalina. Canadian Journal of Fisheries and Aquatic Sciences, 42(8), 1342-1351.",tbl 1,421
Lammens,1982,Studies on Lake Vechten and Tjeukemeer,"Lammens, E. H. R. R. (1982). Growth, condition and gonad development of bream (Abramis brama L.) in relation to its feeding conditions in Tjeukemeer. In Studies on Lake Vechten and Tjeukemeer, The Netherlands (pp. 311-320). Springer, Dordrecht.",tbl 5,420
Marszal,2004,FOLIA BIOLOGICA-KRAKOW,"Marszal, L., Grzybkowska, M., Przybylski, M., & Valladolid, M. (2004). Feeding activity of spined loach Cobitis sp. in Lake Lucien, Poland. FOLIA BIOLOGICA-KRAKOW-, 51, 159-165.",tbl 1,468
Nilsson,1955,Report of Institute of Freshwater Research Drottningholm,"Nilsson, N. A. (1955). Studies on the feeding hibits of trout and char in north Swedish lakes. Report of Institute of Freshwater Research Drottningholm, 36, 163-225.",tbl 11,560
Nilsson,1955,Report of Institute of Freshwater Research Drottningholm,"Nilsson, N. A. (1955). Studies on the feeding hibits of trout and char in north Swedish lakes. Report of Institute of Freshwater Research Drottningholm, 36, 163-225.",tbl 12,561
Yalçın-Özdilek et al.,2013,Turkish Journal of Fisheries and Aquatic Sciences,"Yalçın-Özdilek, Ş., Kırankaya, Ş. G., & Ekmekçi, F. G. (2013). Feeding ecology of the topmouth gudgeon Pseudorasbora parva (Temminck and Schlegel, 1846) in the Gelingüllü Reservoir, Turkey. Turkish Journal of Fisheries and Aquatic Sciences, 13(1), 87-94.",tbl 3,815
Salvador‐Jr et al.,2009,Acta Zoologica,"Salvador‐Jr, L. F., Salvador, G. N., & Santos, G. B. (2009). Morphology of the digestive tract and feeding habits of Loricaria lentiginosa Isbrücker, 1979 in a Brazilian reservoir. Acta Zoologica, 90(2), 101-109.",tbl 1,667
Stoffels & Humphries,2003,Environmental Biology of Fishes,"Stoffels, R. J., & Humphries, P. (2003). Ontogenetic variation in the diurnal food and habitat associations of an endemic and an exotic fish in floodplain ponds: consequences for niche partitioning. Environmental Biology of Fishes, 66(3), 293-305.",tbl 3,706
Vidotto-Magnoni & Carvalho,2009,Neotropical Ichthyology,"Vidotto-Magnoni, A. P., & Carvalho, E. D. (2009). Aquatic insects as the main food resource of fish the community in a Neotropical reservoir. Neotropical Ichthyology, 7(4), 701-708.",tbl 1,757
Villares-Junior et al.,2016,Brazilian Journal of Biology,"Villares-Junior, G. A., Cardone, I. B., & Goitein, R. (2016). Comparative feeding ecology of four syntopic Hypostomus species in a Brazilian southeastern river. Brazilian Journal of Biology, 76(3), 692-699.",tbl 2,761
Junior et al.,2016,Aqua Int. J. Ichthyol.,"Junior, N. F., Machado, F. A., Zuanon, J. S., & Ferreira, E. J. (2016). The fish fauna of sessile hydrophytes stands (Mourera spp.: Podostemaceae) in the Dardanelos Waterfalls, Rio Aripuanã, Brazil. Aqua Int. J. Ichthyol., 22, 133144.",tbl 3,349
Silva et al.,2016,Acta Amazonica,"Silva, N. C. D. S., Costa, A. J. L. D., Louvise, J., Soares, B. E., ALBRECHT, M. P., & CARAMASCHI, É. P. (2016). Resource partitioning and ecomorphological variation in two syntopic species of Lebiasinidae (Characiformes) in an Amazonian stream. Acta Amazonica, 46(1), 25-36.",tbl 1,684
Stefani et al.,2009,Brazilian Journal of Biology,"Stefani, P. M., & Rocha, O. (2009). Diet composition of Plagioscion squamosissimus (Heckel, 1840), a fish introduced into the Tietê River system. Brazilian Journal of Biology, 69(3), 805-812.",tbl 1,701
Miller,2015,TAFS,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana.�Transactions of the American Fisheries Society,�144(4), 780-791.",tbl1,490
Hellawel,1971,Freshwater Biology,"Hellawell, J. M. (1971). The autecology of the chub, Squalius cephalus (L.), of the River Lugg and the Afon Llynfi: III. Diet and feeding habits. Freshwater Biology, 1(4), 369-387.",tbl 4,289
Hellawel,1971,Freshwater Biology,"Hellawell, J. M. (1971). The autecology of the chub, Squalius cephalus (L.), of the River Lugg and the Afon Llynfi: III. Diet and feeding habits. Freshwater Biology, 1(4), 369-387.",tbl 5,290
"Specziár, A.; Tölg, L.; Biró, P.",1997,NA,"Specziár, A.; Tölg, L.; Biró, P. 1997. Feeding strategy and growth of cyprinids in the littoral zone of Lake Balaton. J. Fish Biol. 51(6):1109-1124.",NA,695
"Specziar, A.; Biro, P.; Tolg, L.",1998,NA,"Specziar, A.; Biro, P.; Tolg, L. 1998. Feeding and competition of five cyprinid fishes in different habitats of the Lake Balaton littoral zone, Hungary. Ital. J. Zool. 65:331-336.",NA,694
"Bryazgunova, M.I.",1979,NA,"Bryazgunova, M.I. 1979. Feeding relationships of the young of the pike perch, <i>Lucioperca lucioperca</i>, the bream, <i>Abramis brama</i>, and fishes of lesser importance in the lower reaches of the Don. J. Ichthyol. 19(2):57-65.",NA,82
"Ermolin, V.P.",1977,NA,"Ermolin, V.P. 1977. Feeding of common bream, sterlet, white bream and roach in Saratov Reservoir. Lower Volga and its reservoirs. Tr. Saratov. Otd. GosNIORKh 15:75-78.",NA,195
"Shorygin, A.A.",1952,NA,"Shorygin, A.A. 1952. Feeding and trophic relations of fishes of the Caspian Sea. Moscow, Pishchepromizdat. 268 p.",NA,679
"Horinouchi, M.; Sano, M.",2000,NA,"Horinouchi, M.; Sano, M. 2000. Food habits of fishes in a <i>Zostera marina</i> bed at Aburatsubo, central Japan. Ichthyol. Res. 47(2):163-173.",NA,308
"Kanou, K.; Sano, M.; Kohno, H.",2005,NA,"Kanou, K.; Sano, M.; Kohno, H. 2005. Ontogenetic diet shift, feeding rhythm, and daily ration of juvenile yellowfin goby <i>Acanthogobius flavimanus</i> on a tidal mudflat in the Tama River estuary, central Japan. Ichthyol. Res. 52:319-324.",NA,353
"Takamura, K.",1984,NA,"Takamura, K. 1984. Interspecific relationships of aufwuchs-eating fishes in Lake Tanganyika. Environ. Biol. Fishes 10(4):225-241.",NA,718
"Sokolov, L.I.",1966,NA,"Sokolov, L.I. 1966. Feeding of Siberian sturgeon <i>Acipenser baeri</i> Brandt of the Lena river. Vorposy Ikhtiologii 6(3):550-560.",NA,693
"Chechun, T.-Y.",1998,NA,"Chechun, T.-Y. 1998. Nutrition of the Acipenseridal of the Sea of Azov under present conditions. J. Ichthyol. 38(1):147-150.",NA,110
"Zolotarev, P.N.; Shlyakhov, V.A.; Akselev, O.I.",1996,NA,"Zolotarev, P.N.; Shlyakhov, V.A.; Akselev, O.I. 1996. The food supply and feeding of the Russian sturgeon <i>Acipenser gueldenstaedti</i> and the starred sturgeon <i>Acipenser stellatus</i> of the northwestern part of the Black Sea under ecological conditions. J. Ichthyol. 36(4):317-322.",NA,831
"Mutysheva, G.K.; Stygar, V.M.",1989,NA,"Mutysheva, G.K.; Stygar, V.M. 1989. Distribution and feeding of sturgeon fingerlings in the coastal mouth waters of the Urals. P. 175-188 in Podrazhanskaya, S.G., A.A. Neyman and M.I. Tarverdieva (Eds.). Diurnal rhythms and diets of commercial fishes of the World Ocean. Moscow, VNIRO.",NA,537
"Zakora, L.P.",1978,NA,"Zakora, L.P. 1978. Feeding of sterlet <i>Acipenser ruthenus</i> L. in Volgograd Reservoir and utilization of forage resources by it in these waters. Vopr. Ikhtiol. 18(6):1065-1071.",NA,827
"Yukhimenko, S.S.",1963,NA,"Yukhimenko, S.S. 1963. Feeding of Amur sturgeon <i>Acipenser schrenki</i> Brandt and Kaluga <i>Huso dauricus</i> Georgi) in the lower Amur steram. Vorposy Ikhtiologii 3(2):311-318.",NA,821
"Radtke, L.D.",1966,NA,"Radtke, L.D. 1966. Distribution of smelt, juvenile sturgeon, and starry flounder in the Sacramento-San Joaquin Delta with observations on food of sturgeon. p. 115-129. In J. L. Turner and D. W. Kelly (comp.) Ecological studies of the Sacramento-San Joaquin Delta. Part II Fishes of the Delta.",NA,642
"Leite, R.G.; Jégu, M.",1990,NA,"Leite, R.G.; Jégu, M. 1990. Régime alimentaire de deux espèces d'<i>Acnodon</i> (Characiformes, Serrasalmidae) et habitudes alimentaires lépidophages de <i>A. normani</i>. Cybium 14(4):187-206.",NA,424
"Moodie, G.E.E.; Lindsey, C.C.",1972,NA,"Moodie, G.E.E.; Lindsey, C.C. 1972. Life-history of a unique cyprinid fish, the chiselmouth (<i>Acrocheilus alutaceus</i>), in British Columbia. Syesis 5:55-61.",NA,512
"Novoselov, A.P.",1987,NA,"Novoselov, A.P. 1987. Food relationships of the introduced peled, <i>Coregonus peled</i>, with the indigenous ichthyofauna under lake and riverine conditions in Arkhangel Province. J. Ichthyol. 27(4):161-169.",NA,569
"Davis, B.M.; Foltz, J.W.",1991,NA,"Davis, B.M.; Foltz, J.W. 1991. Food of blueback herring and threadfin shad in Jocassee Reservoir, South Carolina. Trans. Am. Fish. Soc. 120(5):605-613.",NA,157
"Bowman, R.E.; Stillwell, C.E.; Michaels, W.L.; Grosslein, M.D.",2000,NA,"Bowman, R.E.; Stillwell, C.E.; Michaels, W.L.; Grosslein, M.D. 2000. Food of northwest Atlantic fishes and two common species of squid. NOAA Tech. Memo. NMFS-NE 155, 138 p.",NA,73
"Maitland, P.S.; Lyle, A.A.",2005,NA,"Maitland, P.S.; Lyle, A.A. 2005. Ecology of allis shad <i>Alosa alosa</i> and twaite shad <i>Alosa fallax</i> in the Solway Firth, Scotland. Hydrobiologia 534: 205-221.",NA,451
"Ostroumov, A.A.",1947,NA,"Ostroumov, A.A. 1947. Feeding of Caspian marine shad (Caspialosa brashnikovi (Bor.) and Saposhnikovi shad (Caspialosa saposhnikovi (Grimm) in the northern Caspian Sea. Trudy Volgo-Kaspiiskoi Nauchnoi Rybokhozyaistvennoi Stantsii 9(1):82-94.",NA,599
"Matveeva, R.P.",1957,NA,"Matveeva, R.P. 1957. Feeding of young clupeids in the northern Caspian Sea. Trudy Vsesoyuznogo Gidrobiologicheskogo Obshchestva 8:368-386.",NA,477
"Heckman, C.W.",1991,NA,"Heckman, C.W. 1991. <i>Alosa pontica kessleri</i> (Grimm 1887). p. 325-336. In H. Hoestlandt (ed.) The freshwater fishes of Europe. Vol. 2. Clupeidae, Anguillidae. AULA-Verlag Wiesbaden.",NA,285
"Grabe, S.A.",1996,NA,"Grabe, S.A. 1996. Feeding chronology and habits of <i>Alosa</i> spp. (Clupeidae) juveniles from the lower Hudson River estuary, New York. Environ. Biol. Fishes 47:321-326.",NA,255
"Mills, E.L.; O'Gorman, R.; Roseman, E.F.; Adams, C.; Owens, R.W.",1995,NA,"Mills, E.L.; O'Gorman, R.; Roseman, E.F.; Adams, C.; Owens, R.W. 1995. Planktivory by alewife (<i>Alosa pseudoharengus</i>) and rainbow smelt (<i>Osmerus mordax</i>) on microcrustacean zooplankton and dreissenid (Bivalvia: Dreissenidae) veligers in southern Lake Ontario. Can. J. Fish. Aquat. Sci. 52:925-935.",NA,491
"Stevens, D.E.",1966,NA,"Stevens, D.E. 1966. Distribution and food habits of the American shad, <i>Alosa sapidissima</i>, in the Sacramento-San Joaquin Delta. p. 97-107. In J.L. Turner and D.W. Kelly (comp.) Ecological studies of the Sacramento-San Joaquin Delta. Part II Fishes of the Delta. Fish. Bull. 136.",NA,704
"Elizarenko, M.M.; Andrianova, S.B.",2002,NA,"Elizarenko, M.M.; Andrianova, S.B. 2002. The meal of bigeyed shad in Caspian Sea. Vopr. Rybolovstva (Problems of Fisheries) 3(1):53-64.",NA,188
"Moskvin, B.S.",1940,NA,"Moskvin, B.S. 1940. Materials on the feeding of shads in the northeastern part of the Black Sea. Trudy Novorossiiskoi Biologicheskoi Stantsii 2(3):259-272.",NA,524
"Yuma, M.",1994,NA,"Yuma, M. 1994. Food habits and foraging behaviour of benthivorous cichlid fishes in Lake Tanganyika. Environ. Biol. Fishes 39:173-182.",NA,822
"Coates, D.",1990,NA,"Coates, D. 1990. Aspects of the biology of the perchlet <i>Ambassis interrupta</i> Bleeker (Pisces: Ambassidae) in the Sepik River, Papua New Guinea. Aust. J. Mar. Freshwat. Res. 41(2):267-274.",NA,117
"Hajisamae, S.; Chou, L.M.; Ibrahim, S.",2004,NA,"Hajisamae, S.; Chou, L.M.; Ibrahim, S. 2004. Feeding habits and trophic relationships of fishes utilizing an impacted coastal habitat, Singapore. Hydrobiologia 520:61-71.",NA,273
"Keast, A.; Walsh, L.",1968,NA,"Keast, A.; Walsh, L. 1968. Daily feeding periodicities, food uptake rates, and dietary changes with hour of day in some lake fishes. J. Fish. Res. Board Can. 25(6):1133-1144.",NA,360
"George, E.L.; Hadley, W.F.",1979,NA,"George, E.L.; Hadley, W.F. 1979. Food and habitat partitioning between rock bass (<i>Ambloplites rupestris</i>) and smallmouth bass (<i>Micropterus dolomieui</i>) young of the year. Trans. Am. Fish. Soc. 108(3):253-261.",NA,235
"Keast, A.",1985,NA,"Keast, A. 1985. Development of dietary specializations in a summer community of juvenile fishes. Environ. Biol. Fishes 13(3):211-224.",NA,358
"Weliange, W.S.; Amarasinghe, U.S.",2007,NA,"Weliange, W.S.; Amarasinghe, U.S. 2007. Relationship between body shape and food habits of fish from three reservoirs of Sri Lanka. Asian Fish. Sci. 20:257-270.",NA,784
"Turner, J.L.",1966,NA,"Turner, J.L. 1966. Distribution and food habits of ictalurid fishes in the Sacramento-San Joaquin Delta. p. 130-143. In J.L. Turner and D.W. Kelly (comp.) Ecological Studies of the Sacramento -San Joaquin Delta. Part II Fishes of the Delta, Fish. Bull. 136.",NA,745
"Klarberg, D.P.; Benson, A.",1975,NA,"Klarberg, D.P.; Benson, A. 1975. Food habits of <i>Ictalurus nebulosus</i> in acid polluted water of northern West Virginia. Trans. Am. Fish. Soc. 4(3):541-546.",NA,371
"Keast, A.",1968,NA,"Keast, A. 1968. Feeding of some Great Lakes fishes at low temperatures. J. Fish. Res. Board Can. 25(6):1199-1218.",NA,356
"Wise, B.S.; Potter, I.C.; Wallace, J.H.",1994,NA,"Wise, B.S.; Potter, I.C.; Wallace, J.H. 1994. Growth, movements and diet of the terapontid <i>Amniataba caudavittata</i> in an Australian estuary. J. Fish Biol. 45(6):917-931.",NA,810
"Marriott, M.S.; Booth, A.J.; Skelton, P.H.",1997,NA,"Marriott, M.S.; Booth, A.J.; Skelton, P.H. 1997. Reproductive and feeding biology of the Natal mountain catfish, <i>Amphilius natalensis</i> (Siluriformes:Amphiliidae). Environ. Biol. Fishes 49:461-470.",NA,467
"Talde, C.M.; Mamaril, A.C.; Palomares, M.L.D.",2004,NA,"Talde, C.M.; Mamaril, A.C.; Palomares, M.L.D. 2004. The diet composition of some economically important fishes in the three floodplain lakes in Agusan Marsh wildlife sanctuary in the Philippines. Sri Lanka J. Aquat. Sci 9:45-56.",NA,719
"Allen, D.M.; Johnson, W.S.; Ogburn-Matthews, V.",1995,NA,"Allen, D.M.; Johnson, W.S.; Ogburn-Matthews, V. 1995. Trophic relationships and seasonal utilization of salt-marsh creeks by zooplanktivorous fishes. Environ. Biol. Fishes 42(1):37-50.",NA,26
"Gómez-Canchong, P.; Manjarrés M., L.; Duarte, L.O.; Altamar, J.",2004,NA,"Gómez-Canchong, P.; Manjarrés M., L.; Duarte, L.O.; Altamar, J. 2004. Atlas pesquero del area norte del Mar Caribe de Colombia. Universidad del Magadalena, Santa Marta. 230 p.",NA,270
"Costa, J.L.; Assis, C.A.; Almeida, P.R.; Moreira, F.M.; Costa, M.J.",1992,NA,"Costa, J.L.; Assis, C.A.; Almeida, P.R.; Moreira, F.M.; Costa, M.J. 1992. On the food of the European eel, <i>Anguilla anguilla</i> (L.), in the the upper zone of the Tagus estuary, Portugal. J. Fish Biol. 41(6):841-850.",NA,127
"Jellyman, D.J.",1989,NA,"Jellyman, D.J. 1989. Diet of two species of freshwater eel (<i>Anguilla</i> spp.) in Lake Pounui, New Zealand. N.Z.J. Mar. Freshwat. Res. 23(1):1-10.",NA,337
"Hayes, J.W.; Rutledge, M.J.",1991,NA,"Hayes, J.W.; Rutledge, M.J. 1991. Relationship between turbidity and fish diets in lakes Waahi and Whangape, New Zealand. N.Z. J. Mar. Freshwat. Res. 25(3):297-304.",NA,280
"Sagar, P.M.; Eldon, G.A.",1983,NA,"Sagar, P.M.; Eldon, G.A. 1983. Food and feeding of small fish in the Rakaia River, New Zealand. N.Z. J. Mar. Freshwat. Res. 17(3):213-226.",NA,662
"Facey, D.E.; Labar, G.W.",1981,NA,"Facey, D.E.; Labar, G.W. 1981. Biology of American eels in Lake Champlain, Vermont. Trans. Am. Fish. Soc. 110(3):396-402.",NA,200
"Delmendo, M.N.",1968,NA,"Delmendo, M.N. 1968. Food and feeding habits of the economic species of fish in Laguna de Bay. Proc. of the Indo-Pacific Fisheries Council, 13th Session, Brisbane, Queensland, Australia, IPFC Secretariat, FAO Regional Office for Asia and the Far East, Bangkok, Thailand.",NA,162
"Denadai, M. R.; Bessa, E.; Santos, F. B.; Fernandez, W. S.; Santos, F. M. D. C.; Feijó, M. M.; Arcuri, A.C.D.; Turra, A.",2012,NA,"Denadai, M. R.; Bessa, E.; Santos, F. B.; Fernandez, W. S.; Santos, F. M. D. C.; Feijó, M. M.; Arcuri, A.C.D.; Turra, A. 2012. Life history of three catfish species (Siluriformes: Ariidae) from southeastern Brazil. Biota Neotropica 12(4):74-83.",NA,163
"Valencia, C.R.",2001,NA,"Valencia, C.R. 2001. Ecología trófica y reproductiva de <i>Trichomycterus caliense</i> y <i>Astroblepus cyclopus</i> (Pisces: Siluriformes) en el río Quindio, Alto Cauca, Colombia. Rev. Biol. Trop. 49(2):657-666.",NA,752
"Castro, R.M.C.; Casatti, L.",1997,NA,"Castro, R.M.C.; Casatti, L. 1997. The fish fauna from a small forest stream of the Upper Parana River Basin, southern Brazil. Ichthyol. Explor. Freshwat. 7(3-4):337-352.",NA,106
"Danilova, M.M.",1991,NA,"Danilova, M.M. 1991. Diet of juvenile silversides, <i>Atherina boyeri</i>, from the Black Sea. J. Ichthyol. 31(3):137-147.",NA,141
"Bennett, B.A.",1989,NA,"Bennett, B.A. 1989. The diets of fish in three south-western Cape estuarine systems. S. Afr. J. Zool. 24(3):163-177.",NA,57
"Hobson, E.S.; Chess, J.R.",1973,NA,"Hobson, E.S.; Chess, J.R. 1973. Feeding oriented movements of the atherinid fish <i>Praneus pinguis</i> at Majuro Atoll, Marshall Islands. Fish. Bull. 71(3):777-786.",NA,303
"Randall, J.E.",1967,NA,"Randall, J.E. 1967. Food habits of reef fishes of the West Indies. Stud. Trop. Oceanogr. Miami 5:665-847.",NA,643
"Kido, M.H.; Ha, P.; Kinzie, R.A. III.",1993,NA,"Kido, M.H.; Ha, P.; Kinzie, R.A. III. 1993. Insect introductions and diet changes in an endemic Hawaiian amphidromous goby, <i>Awaous stamineus</i> (Pisces: Gobiidae). Pac. Sci. 47(1):43-50.",NA,365
"Tsykhon-Lukanina, E.A.",1959,NA,"Tsykhon-Lukanina, E.A. 1959. Feeding of gobies of the northern Caspian Sea. Trudy Vsesoyuznogo Gidrobiologicheskogo Obshchestva 9:214-239.",NA,742
"Tobor, J.G.",1972,NA,"Tobor, J.G. 1972. The food and feeding habits of some Lake Chad commercial fishes. Bull. I.F.A.N. (A) 34(1):179-211.",NA,733
"Worthington, E.B.",1929,NA,"Worthington, E.B. 1929. A report on the fishing survey of lakes Albert and Kioga. March to July, 1928. Crown Agents for the Colonies, London. 136 p.",NA,812
"Lauzanne, L.",1972,NA,"Lauzanne, L. 1972. Régimes alimentaires des principales espèces de poissons de l'archipel oriental du Lac Chad. Centre ORSTOM, Fort-Lamy, 19p.",NA,422
